BMK	Adresse	symbolische Adresse	Querverweisdaten (A)	E	
=RC01++RCMP+R1-12A31	DI0	system.HWI_m FMon24VUPS	+R1/22	Trip Switch Monitoring Monitoring USV	
=RC01++RCMP+R1-12A31	DI2	system.HWI_m FMon3P	+R1/22	Motor Circuit Breaker Monitoring 400VAC	
=RC01++RCMP+R1-12A31	DI1	system.HWI_m FMon24V	+R1/22	Trip Switch Monitoring Without USV	
=RC01++RCMP+R1-12A31	DI3	system.HWI_m SCool_ok	+R1/4	Cooling Ok	
=RC01++RCMP+R1-12A32	DI0	system.HWI_m G24V_Supply_UPS_OK	+R1/6	24VDC Supply USV OK	
=RC01++RCMP+R1-12A32	DI2	RCU1.HWI_m SBrakeRelDev_Pluged	+R1/40	Brake Release Device In Operation	
=RC01++RCMP+R1-12A32	DI1	system.HWI_m GUPS_Ready	+R1/6	Buffer Ready	
=RC01++RCMP+R1-12A32	DI3	system.HWI_m FMon24VProcess	+R1/22	Trip Switch Monitoring Without USV	
=RC01++RCMP+R1-12A40	DI0	RCU1.HWI_mB1	+R1/43	Mastering Sensor Axis 1	
=RC01++RCMP+R1-12A40	DI2	RCU1.HWI_mB3	+R1/43	Mastering Sensor Axis 3	
=RC01++RCMP+R1-12A40	DI1	RCU1.HWI_mB2	+R1/43	Mastering Sensor Axis 2	
=RC01++RCMP+R1-12A40	DI3	RCU1.HWI_mB7	+R1/43	Mastering Sensor Axis 7	
=RC01++RCMP+R1-12A41	DI0	PCU1.HWI_m BDP93DRU	+R1/73	Speed Control BDP93DRU	
=RC01++RCMP+R1-12A41	DI2	RCU1.HWI_mSA7_1	+R1/14	E - Stop Axis 7 Axis Limit 1	
=RC01++RCMP+R1-12A41	DI1	PCU1.HWI_m BDP94DRU	+R1/73	Speed Control BDP94DRU	
=RC01++RCMP+R1-12A41	DI3	RCU1.HWI_mSA7_2	+R1/14	E - Stop Axis 7 Axis Limit 2	
=RC01++RCMP+R1-12A42	DO3	PCU1.HWO_m AAH1	+R1/78	Heating On	
=RC01++RCMP+R1-12A50	DI0	PCU1.HWI_m AHS1_ErrorIStart	+R1/56	+ 24VDC	
=RC01++RCMP+R1-12A50	DI2	PCU1.HWI_m AHS1_ErrorIStat	+R1/56	Fault_I_Level	
=RC01++RCMP+R1-12A50	DI1	PCU1.HWI_m AHS1_Warning	+R1/56	Warning 80 %	
=RC01++RCMP+R1-12A50	DI3	PCU1.HWI_m AHS1_ErrorAcc	+R1/56	Group Fault	
=RC01++RCMP+R1-12A51	DI0	PCU1.HWI_m AHS1_Release	+R1/56	Release	
=RC01++RCMP+R1-12A51	DI2	PCU1.HWI_m AHS1_ErrorUDyn	+R1/56	Fault Dyn. U	
=RC01++RCMP+R1-12A51	DI1	PCU1.HWI_m AHS1_ErrorUStat	+R1/56	Fault_U_Level	
=RC01++RCMP+R1-12A51	DI3	PCU1.HWI_m AHS1_ErrorIDyn	+R1/56	Fault Dyn I	
=RC01++RCMP+R1-12A52	DO0	PCU1.HWO_m AHS1_OperationMode	+R1/56	U/I _ Select 0 = U ; 1 = I	
=RC01++RCMP+R1-12A52	DO2	PCU1.HWO_m AHS1_HTOn	+R1/56	Hv-On	
=RC01++RCMP+R1-12A52	DO1	PCU1.HWO_m AHS1_SelfCheck	+R1/56	Self Test	
=RC01++RCMP+R1-12A60	DO0	PCU1.HWO_m AHS1_Reset	+R1/56	Reset	
=RC01++RCMP+R1-12A60	DO2	PCU1.HWO_m AHS1_DynamicOffU	+R1/56	Dyn.U	
=RC01++RCMP+R1-12A60	DO1	PCU1.HWO_m AHS1_DynamicOffI	+R1/56	Dyn.I	
