S_MainChannel.BMLD1.ActValue|BMLD1 (Istwert)
S_MainChannel.BMLD1.ActValue_Debounced|BMLD1 (entprellter Istwert)

S_MainChannel.BLV1.ActValue|BLV1 (Istwert)
S_MainChannel.BLV1.ActValue_Debounced|BLV1 (entprellter Istwert)

S_MainChannel.BDP91PE.ActValue|Druck vor Pumpe (Istwert)
S_MainChannel.BDP91PE.FreezeActValue|Druck vor Pumpe  Druck speichern
S_MainChannel.BDP91PE.SetRange|Druck vor Pumpe  Toleranzbereich für Leckageprüfung
S_MainChannel.BDP91PE.InRange|Druck vor Pumpe  Druck im Toleranzbereich
S_MainChannel.BDP91PE.InZeroRange|Druck vor Pumpe  Druck innerhalb Null-Toleranz

S_MainChannel.BDP91PA.ActValue|Druck nach Pumpe (Istwert)
S_MainChannel.BDP91PA.FreezeActValue|Druck nach Pumpe Druck speichern
S_MainChannel.BDP91PA.SetRange|Druck nach Pumpe Toleranzbereich für Leckageprüfung
S_MainChannel.BDP91PA.InRange|Druck nach Pumpe Druck im Toleranzbereich
S_MainChannel.BDP91PA.InZeroRange|Druck nach Pumpe Druck innerhalb Null-Toleranz

S_MainChannel.BML1.Set|BML
S_MainChannel.BML1.ActValue|BML (Istwert)
S_MainChannel.BML1.ActPressure|BML (Druck)

S_MainChannel.BFDS1.Set|BFDS
S_MainChannel.BFDS1.ActValue|BFDS (Istwert)
S_MainChannel.BFDS1.ActPressure|BFDS (Druck)

S_MainChannel.YHL.Set|HL
S_MainChannel.YHL.ActValue|HL (Istwert)
S_MainChannel.YHL.ActPressure|HL (Druck)

S_MainChannel.YZL.Set|ZL
S_MainChannel.YZL.ActValue|ZL (Istwert)
S_MainChannel.YZL.ActPressure|ZL (Druck)

S_MainChannel.BLL1.Set|LL1
S_MainChannel.BLL1.ActValue|LL1 (Istwert)
S_MainChannel.BLL1.ActPressure|LL1 (Druck)

S_MainChannel.BLL2.Set|LL2
S_MainChannel.BLL2.ActValue|LL2 (Istwert)
S_MainChannel.BLL2.ActPressure|LL2 (Druck)

S_MainChannel.YHN1.Set|Hauptnadel
S_MainChannel.YHN1.Q|Hauptnadel (Q) 
S_MainChannel.YHN1.ActValue|Hauptnadel (Istwert)
S_MainChannel.YHN1.TimeOn|Hauptnadel (Schaltzeit Öffnen) 
S_MainChannel.YHN1.TimeOff|Hauptnadel (Schaltzeit Schließen)

S_MainChannel.YF.Set|FF
S_MainChannel.YF.Q|FF (Q) 
S_MainChannel.YF.ActValue|FF (Istwert)
S_MainChannel.YF.Release|FF (Freigabe)

S_MainChannel.YPL1.Set|PL1 
S_MainChannel.YPL1.Q|PL1 (Q) 
S_MainChannel.YPL1.ActValue|PL1 (Istwert)
S_MainChannel.YPL1.Release|PL1 (Freigabe)  

S_MainChannel.YV3.Set|V3
S_MainChannel.YV3.Q|V3 (Q) 
S_MainChannel.YV3.ActValue|V3 (Istwert)
S_MainChannel.YV3.Release|V3 (Freigabe)

S_MainChannel.YBY1.Set|BY1
S_MainChannel.YBY1.Q|BY1 (Q) 
S_MainChannel.YBY1.ActValue|BY1 (Istwert)
S_MainChannel.YBY1.Release|BY1 (Freigabe)

S_MainChannel.YLV1PL1.Set|LV1PL1
S_MainChannel.YLV1PL1.Q|LV1PL1(Q) 
S_MainChannel.YLV1PL1.ActValue|LV1PL1 (Istwert)
