ecorpc 1.10.0009
2;1;%4\u00DCbertragung Applikationsergebnis an Stations-SPS abgebrochen durch Programmstart
2;2;%4Karosse ID= %1 mit Typ = %2 oder Farbe = %3 nicht zul\u00E4ssig 
2;3;%4Hardware-Endpunkt '%1' f\u00FCr Applikations Z\u00E4hler von SPS nicht gefunden
2;4;%4Projektverzeichnis %1 nicht gefunden
2;5;%4Teachprogramm-Datei %1 in Projekt %2 nicht gefunden
2;6;%4Projekt- oder Programmname f\u00FCr Typ %1 in Typzuordnungstabelle nicht parametriert
2;7;%4SPS setzt zeitgleich mehrere Eing\u00E4nge um Fixposistion zu starten.
3;1;%4Ung\u00FCltige Degradeanforderung von Station-SPS, mehr als ein Degrademode angefordert
3;2;%4Degrademodeanforderung von SPS ausser Bereich, Limit: %1, Anforderung: %2
3;3;%4Degradeanforderung von SPS, jedoch keine Freigabe in BCU.cfg konfiguriert (Parameter: EnableDegradeMode)
3;4;%4Robotertyp kann nicht ge\u00E4ndert werden keine Freibgabe in BCU.cfg
3;5;%4Ung\u00FCltiges Degradekommando
3;6;%4Programmstartposition kann nicht ge\u00E4ndert werden Keine Freibgabe in BCU.cfg
3;7;%4Mehrfache Degradeanforderung mit unterschiedlichem RoboterType
3;8;%4Mehrfache Degradeanforderung mit unterschiedlichen Roboter Startpositionen
3;9;%4Mehrfache Degradeanforderung mit unterschiedlichen Conveyor Stoppositionen
5;1;%4Skalierungsfaktor F\u00F6rdererencoder = 0, Parameter: "Conv_Puls_per_mm"  in System.cfg
5;2;%4Sprung Encoderwert F\u00F6rdererinkremente
5;3;%4Keine F\u00F6rdererimpulse und F\u00F6rderer l\u00E4uft
6;9;%4Fixpositionsanforderung Progr. Nr %1 aus Zeitprogramm und keine Antriebsfreigabe vorhanden
6;10;%4Programmnummer %1 fuer Fixposition ausser Bereich (%2 < Progr.Nr. <%3)
6;11;%4Fixpositionsanforderung Progr. Nr %1 und keine Antriebsfreigabe vorhanden
6;12;%4Fixpositionsanforderung Progr. Nr %1 aus Motionguardsequenz und keine Antriebsfreigabe vorhanden
6;13;%4Fixpositionsanforderung Progr. Nr %1 aus Bremsentestsequenz und keine Antriebsfreigabe vorhanden
6;14;%4Anforderung Diagnosefahrt Progr. Nr %1 und keine Antriebsfreigabe vorhanden
8;1;%4Kein Geist in der Visualisierung ausgew\u00E4hlt.
8;2;%4Station ist nicht im Simulationsmodus
8;3;%4Geiststart von EPS w\u00E4hrend Geist l\u00E4uft.
8;4;%4Karosserie in der Zone. 
8;5;%4Fehler Timeout Betriebsart Geist
8;6;%4Geiststart nicht m\u00F6glich, Roboter nicht in Bypassposition
10;1;%4Fehler: Programmstartposition erreicht und F\u00F6rdererposition nicht durch Part Detect synchronisiert
10;2;%4Tracking Startposition %1 mm des Aktionspunktes %2 liegt von Zonenstart, dies ist unzul\u00E4ssig.
10;3;%4Startposition %1mm mit \u00DCberhangma\u00DF %2 des Aktionspunktes %3 liegt vor Zonenstart, dies ist unzul\u00E4ssig.
10;4;%4Synchronisationssignal f\u00FCr zweiten F\u00F6rderer erhalten aber keine Karosse im Bereich (Min=%1mm - Max=%2mm).
10;5;%4Karosse hat TrackingEndPosition erreicht und Maschine %1 ist nicht fertig.
11;1;%4Fehler Status Semaphore (Status = KRTOS_Status_NOTOK)
11;2;%4Fehler Status Semaphore (Status <> KRTOS_Status_OK)
11;3;%4Fehler: Initialisierung Karosse und Sperrz\u00E4hler noch aktiv
11;4;%4Fehler: Keine Karossendaten von Station-SPS
13;1;%4Fehler Status Semaphore (Status = KRTOS_Status_NOTOK)
13;2;%4Fehler Status Semaphore (Status <> KRTOS_Status_OK)
13;3;%4Fehler \u00DCberlauf Speicher Programmbauftragung
13;4;%4Fehler Timeout Programmbeauftragung
13;5;%4Programmstart und Roboter nicht in Grundstellung
13;6;%4Bypass-Signal wechselt auf Null und kein Programm aktiv
13;7;%4Eingang iCfgSelector ausser Bereich: %1
13;8;%4Applikationsstart nicht m\u00F6glich, Programm aktiv
13;9;%4Applikationsstart nicht moeglich, Programm wurde bereits beauftragt
13;10;%4Applikationsstart nicht m\u00F6glich, Nachbereitung geplant oder aktiv
13;11;%4Programmbeauftragung und Roboter nicht in Betriebsart Automatik
13;12;%4Applikation wird nicht gestartet, F\u00F6rdererstopposition \u00FCberschritten, Position: %1 mm
13;13;%4Fixpositionsfahrt der Ebene %1 wurde abgebrochen, weil nicht eindeutig Masch.1 Nr. %2 - Masch.2 Nr. %3
13;14;%4Ebene %1: Zeit\u00FCberschreitung Programmabbruch f\u00FCr bereits geladenes Programm bei Fixposstart
13;15;%4Ebene %1 Maschine %2: Zeit\u00FCberschreitung Quittierung Programmstart.
13;16;%4Ebene %1 kann nicht abgew\u00E4hlt werden, da Antriebe nicht bereit.
13;17;%4Ebene %1 Fixpositionsfahrt HOME bei Abwahl kann nicht gestartet werden.
13;18;%4Ebene %1 Fixpositionsfahrt HOME bei Abwahl wurde unterbrochen.
13;19;%4Ebene%1: Fixpositionsanforderung Progr. Nr %2 und keine Antriebsfreigabe vorhanden
