ecorpc 1.10.0009
2;1;%4A programind\u00EDt\u00E1s megszak\u00EDtotta az applik\u00E1ci\u00F3 eredm\u00E9ny \u00E1tvitel\u00E9t az SPS \u00E1llom\u00E1sra
2;2;%4karossz\u00E9ria ID= %1 t\u00EDpus = %2 vagy sz\u00EDn = %3 nem megengedett 
2;3;%4Hardver v\u00E9gpont '%1' a PLC alkalmaz\u00E1s sz\u00E1ml\u00E1l\u00F3j\u00E1hoz nem tal\u00E1lhat\u00F3
2;4;%4Projektk\u00F6nyvt\u00E1r %1 nem tal\u00E1lhat\u00F3
2;5;%4Tan\u00EDt\u00F3program f\u00E1jl %1 %2 projektben nem tal\u00E1lhat\u00F3
2;6;%4Projekt- vagy programn\u00E9v %1 t\u00EDpushoz a t\u00EDpus hozz\u00E1rendel\u00E9si t\u00E1bl\u00E1zatban nincs param\u00E9terezve
2;7;%4PLC egyszerre t\u00F6bb bemenetet ad meg a r\u00F6gz\u00EDtett poz\u00EDci\u00F3 ind\u00EDt\u00E1s\u00E1hoz.
3;1;%4\u00C9rv\u00E9nytelen tartom\u00E1nyon k\u00EDv\u00FCli lefokoz\u00E1si k\u00E9r\u00E9s az SPS \u00E1llom\u00E1sr\u00F3l, egyn\u00E9l t\u00F6bb lefokoz\u00E1si m\u00F3d k\u00E9r\u00E9s
3;2;%4Tartom\u00E1nyon k\u00EDv\u00FCli lefokoz\u00E1s k\u00E9r\u00E9s az SPS-r\u0151l, hat\u00E1r\u00E9rt\u00E9k: %1, k\u00E9r\u00E9s: %2
3;3;%4Lefokoz\u00E1s k\u00E9r\u00E9s az SPS-r\u0151l, de a BCU.cfg f\u00E1jlban nincs konfigur\u00E1lva az enged\u00E9lyez\u00E9s (param\u00E9ter: EnableDegradeMode)
3;4;%4 A robot t\u00EDpusa nem m\u00F3dos\u00EDthat\u00F3, nincs enged\u00E9ly a BCU.cfg f\u00E1jlban
3;5;%4 \u00C9rv\u00E9nytelen lefokoz\u00E1si parancs
3;6;%4 A programind\u00EDt\u00E1s poz\u00EDci\u00F3ja nem m\u00F3dos\u00EDthat\u00F3, nincs enged\u00E9ly a BCU.cfg f\u00E1jlban
3;7;%4T\u00F6bbsz\u00F6ri alacsonyabb rend\u00FC int\u00E9zked\u00E9s k\u00FCl\u00F6nb\u00F6z\u00F6 Robot t\u00EDpusokkal
3;8;%4T\u00F6bbsz\u00F6ri alacsonyabb rend\u00FC int\u00E9zked\u00E9s k\u00FCl\u00F6nb\u00F6z\u00F6 robot startpozici\u00F3kkal
3;9;%4T\u00F6bbsz\u00F6ri alacsonyabb rend\u00FC int\u00E9zked\u00E9s k\u00FCl\u00F6nb\u00F6z\u00F6 sz\u00E1ll\u00EDt\u00F3 stoppoz\u00EDci\u00F3kkal
5;1;%4Sz\u00E1ll\u00EDt\u00E1s k\u00F3dol\u00F3 sk\u00E1l\u00E1z\u00E1si t\u00E9nyez\u0151je = 0, param\u00E9ter: "Conv_Puls_per_mm" a System.cfg f\u00E1jlban
5;2;%4Sz\u00E1ll\u00EDt\u00E1si n\u00F6vekm\u00E9ny k\u00F3d ugr\u00E1sa
5;3;%4 Nincs sz\u00E1ll\u00EDt\u00E1si impulzus \u00E9s sz\u00E1ll\u00EDt\u00F3 fut
6;9;%4Progr. Nr %1 r\u00F6gz\u00EDtett poz\u00EDci\u00F3 k\u00E9r\u00E9s az id\u0151programb\u00F3l \u00E9s nincs a meghajt\u00E1s enged\u00E9lyezve
6;10;%4 %1 programsz\u00E1m a r\u00F6gz\u00EDtett poz\u00EDci\u00F3ra a tartom\u00E1nyon k\u00EDv\u00FCl van (%2 < progr.sz. <%3)
6;11;%4 Progr. Nr %1 r\u00F6gz\u00EDtett poz\u00EDci\u00F3 k\u00E9r\u00E9s, \u00E9s nincs a meghajt\u00E1s enged\u00E9lyezve
